,Age,Gender,Race,EjF,RAP,PAS,PAD,PAMN,PCWP,CO,CI,MIXED,BPSYS,BPDIAS,HRTRT,MAP,MPAP,CPI,PP,PPP,PAPP,SVR,RAT,PPRatio,PAPi,SAPi,CPP,PRAPRat,cluster,Death,Rehosp,Readmission
count,13.0,13.0,13.0,12.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,13.0,13.0,13.0,13.0
mean,59.30769230769231,2.0,1.9230769230769231,21.75,11.5,47.25,20.25,28.5,18.666666666666668,3.5866666666666664,2.1,26.0,,,71.0,,60.75,,,,0.5746747785435758,,0.5752314814814815,,2.6246031746031746,,56.5,,2.0,0.38461538461538464,0.5384615384615384,0.15384615384615385
std,14.220786519414784,0.0,1.0377490433255416,5.293649711940456,5.802298395176403,11.026483271348727,5.619905100029122,7.54983443527075,11.930353445448855,0.6312949653952051,0.5567764362830022,,,,2.8284271247461903,,14.680233624137571,,,,0.04055207499071349,,0.2605863644621902,,0.8879487658834623,,13.435028842544403,,0.0,0.5063696835418333,0.5188745216627708,0.3755338080994054
min,38.0,2.0,1.0,10.0,7.0,35.0,13.0,20.0,9.0,3.1,1.6,26.0,,,69.0,,43.66666666666666,,,,0.5365853658536586,,0.28125,,1.6,,47.0,,2.0,0.0,0.0,0.0
25%,52.0,2.0,1.0,19.25,8.5,39.5,17.5,24.5,12.0,3.23,1.8,26.0,,,70.0,,51.16666666666666,,,,0.5479394449116906,,0.4739583333333333,,2.0500000000000003,,51.75,,2.0,0.0,0.0,0.0
50%,57.0,2.0,2.0,25.0,9.5,48.0,21.0,28.0,15.0,3.36,2.0,26.0,,,71.0,,61.99999999999999,,,,0.5667711598746081,,0.6666666666666666,,2.6714285714285717,,56.5,,2.0,0.0,1.0,0.0
75%,69.0,2.0,2.0,25.0,12.5,55.75,23.75,32.0,23.5,3.83,2.35,26.0,,,72.0,,71.58333333333333,,,,0.5935064935064935,,0.7222222222222222,,3.246031746031747,,61.25,,2.0,1.0,1.0,0.0
max,80.0,2.0,4.0,25.0,20.0,58.0,26.0,38.0,32.0,4.3,2.7,26.0,,,73.0,,75.33333333333333,,,,0.6285714285714286,,0.7777777777777778,,3.5555555555555562,,66.0,,2.0,1.0,1.0,1.0
count,26.0,26.0,26.0,25.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,26.0,26.0,26.0,26.0
mean,56.88461538461539,1.0,5.269230769230769,18.48,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,40.34782608695652,,3.0,0.38461538461538464,0.4230769230769231,0.23076923076923078
std,14.741307738669382,0.0,18.93897081112422,7.895779463316673,,,,,,,,,,,,,,,,,,,,,,,14.593300753341254,,0.0,0.49613893835683387,0.5038314736557788,0.4296689244236597
min,27.0,1.0,1.0,10.0,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,15.0,,3.0,0.0,0.0,0.0
25%,47.5,1.0,1.0,11.0,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,32.0,,3.0,0.0,0.0,0.0
50%,57.5,1.0,1.0,15.0,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,38.0,,3.0,0.0,0.0,0.0
75%,63.75,1.0,2.0,25.0,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,48.5,,3.0,1.0,1.0,0.0
max,83.0,1.0,98.0,35.0,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,69.0,,3.0,1.0,1.0,1.0
count,162.0,162.0,162.0,159.0,158.0,147.0,147.0,160.0,142.0,150.0,148.0,61.0,161.0,161.0,162.0,161.0,147.0,147.0,161.0,161.0,147.0,147.0,139.0,161.0,144.0,141.0,149.0,157.0,162.0,162.0,162.0,162.0
mean,58.80864197530864,1.0,3.814814814814815,19.666666666666668,10.556962025316455,43.65986394557823,20.306122448979593,29.00625,18.161971830985916,4.382199999999999,2.2047297297297304,57.377049180327866,97.41614906832298,57.06211180124224,76.83333333333333,135.4575569358178,57.197278911564624,0.6599675701766293,40.35403726708075,0.40269405158906135,0.5335878969001163,2479.715998827738,inf,0.6335316236814542,inf,inf,39.758389261744966,inf,4.0,0.30246913580246915,0.5864197530864198,0.16666666666666666
std,13.879487501330644,0.0,15.054031969440013,6.447123454989973,10.526577628640618,9.88391290066529,5.822267417021869,9.144195584800325,6.910406710679357,1.3622000907533087,0.643349489712125,18.083292412635323,13.953744571893228,13.607759478048632,14.899351772134708,17.7281485166237,12.940782766231797,0.20091074038087123,17.998753407489154,0.18681130850211883,0.09854633184263535,912.5047938817961,,0.9606815597304129,,,13.802981956863725,,0.0,0.4607515622839217,0.49400205859197227,0.37383358970942016
min,23.0,1.0,1.0,5.0,0.0,20.0,5.0,1.0,0.0,2.0,1.1,0.0,40.0,30.0,6.0,73.33333333333334,24.0,0.20325203252032525,-55.0,-0.8333333333333334,0.3103448275862069,953.8461538461536,0.0,-0.8870967741935484,0.43333333333333335,-1.8518518518518519,10.0,-8.333333333333334,4.0,0.0,0.0,0.0
25%,50.0,1.0,1.0,15.0,5.0,36.0,16.0,24.0,13.0,3.5,1.7925,52.0,90.0,49.0,67.25,122.66666666666669,47.0,0.5265336289726534,32.0,0.35135135135135137,0.4615384615384616,1845.5947712418297,0.3333333333333333,0.4069767441860465,1.6666666666666667,1.6785714285714286,29.0,2.7777777777777777,4.0,0.0,0.0,0.0
50%,59.0,1.0,1.0,20.0,8.0,44.0,20.0,29.0,19.0,4.2,2.135,60.0,96.0,56.0,76.0,134.66666666666666,58.33333333333334,0.6243902439024389,41.0,0.4234234234234234,0.5277777777777778,2285.714285714286,0.4736842105263158,0.5168539325842697,2.6666666666666665,2.5,37.0,4.769230769230768,4.0,0.0,1.0,0.0
75%,68.75,1.0,2.0,24.0,12.0,50.5,25.0,34.0,22.75,5.1,2.525,66.0,105.0,63.0,86.0,147.0,66.66666666666667,0.7639430894308943,49.0,0.48,0.6,2914.442740286299,0.6696832579185521,0.6785714285714286,4.0,3.4285714285714284,49.0,8.0,4.0,1.0,1.0,0.0
max,85.0,1.0,98.0,40.0,85.0,70.0,37.0,66.0,38.0,9.0,4.8,97.0,137.0,125.0,120.0,181.66666666666663,90.66666666666669,1.3969696969696968,84.0,0.7368421052631579,0.7826086956521741,5511.1111111111095,inf,9.666666666666666,inf,inf,83.0,inf,4.0,1.0,1.0,1.0
