,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
std,8.603150009535273,0.4991574520044707,0.0,21.96844313218666,6.010652751638552,0.0,9.597255265405323,0.39163568920057695,0.0,0.40997899111588443,0.29642913804614807,0.23507629694616583,0.41580675048537324,0.08923945485786236,0.0,0.4604867924864408,0.3541357252525875,0.4828198940782567,0.0,0.16949241360049416,0.3792235597817877,0.19392277954200732,0.30378468424125027,0.41976747205950066,0.0,0.3495755091622624,0.43611988777339794,0.14529365070264583,0.3207234523647021,0.16089200957892347,0.3516167301932241,0.26860792774077963,0.2597384415222738,0.022394296451119462,0.1915203255210831,0.2597384415222738,0.23507629694616583,0.0,0.0,0.0,0.0,0.0,7.287410490907858,2.387118821551005,0.0,6.104780189273754,2.03223501168849,0.0,0.0,26.38323134273933,0.0,0.0,0.0,0.4191159550573851,0.48427672164676183,0.3114995004275705,0.49473389877972807,17.288002604853762,19.715773894204794,32.91564815732395,0.0,0.0,42.7317096687277,24.025245434101922,0.10668821040773743,0.38270401556453665,0.0,0.07065690460181974
min,55.0,1.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,1.0,0.0
25%,63.0,1.0,0.0,67.4759565455,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,63.0,117.0,0.0,0.0,162.0,46.0,0.3694816053511706,0.4712184873949579,1.0,0.0
50%,71.0,2.0,0.0,80.55,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,74.0,138.0,0.0,0.0,187.0,60.0,0.4465152565880721,0.6711906514538093,1.0,0.0
75%,78.0,2.0,0.0,96.7974588185,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,60.0,89.0,159.0,0.0,0.0,215.66666666666663,77.0,0.516000343170899,0.9114583333333334,1.0,0.0
max,84.0,2.0,0.0,234.34,123.84612837,0.0,132.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,148.0,27.2,0.0,42.4,14.4,0.0,0.0,146.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,85.0,173.0,285.0,0.0,0.0,400.33333333333326,178.0,0.8333333333333334,4.2,1.0,1.0
count,2884.0,2884.0,2884.0,2556.0,2882.0,2884.0,2884.0,230.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2881.0,548.0,2884.0,2881.0,2881.0,2884.0,2884.0,2880.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,2884.0,1645.0,2849.0,2869.0,2884.0,2884.0,2848.0,2848.0,2847.0,2828.0,2884.0,2884.0
mean,69.84119278779472,1.5052011095700417,0.0,88.49641852845193,0.018543163545801527,0.0,7.802704576976422,0.1608695652173913,0.0,0.21359223300970873,0.0957004160887656,0.2368238557558946,0.2621359223300971,0.010055478502080445,0.0,0.4289181692094313,0.19833564493758668,0.6997226074895978,0.0,0.029819694868238558,0.9608183079056866,0.03085991678224688,0.10540915395284327,0.3030513176144244,0.0,0.2222607489597781,0.4407073509015257,0.036061026352288486,0.16816920943134536,0.040915395284327326,0.44625520110957007,0.08564493758668516,0.22122052704576978,0.0,0.09500693481276005,0.12864077669902912,0.24167822468793343,0.0,0.0,0.0,0.0,0.0,0.0038181187087816732,2.1316240875912404,0.0,0.008920513710517181,0.0027768136063866713,0.0,0.0,0.0,0.0,0.0,0.0,0.5371012482662968,0.7961165048543689,0.4091539528432732,0.7725381414701803,43.5483282674772,81.42962442962443,150.06029975601254,0.0,0.0,204.39794007490633,68.68574438202248,0.44982210926314947,0.8369135930962815,2.0,0.004160887656033287
std,8.324357280920417,0.500059650745101,0.0,21.70503638235413,0.7037994654407467,0.0,41.79861344161371,0.7389589812199148,0.0,0.40991322671936253,0.2942309712329911,0.42520701800149774,0.4398724481338646,0.09978887029404183,0.0,0.49500741004552334,0.3988154551788646,0.4584580234965427,0.0,0.17011912155609932,0.19406067400085786,0.17296807823879506,0.3071331511381322,0.4596569127306656,0.0,0.4158375489580119,0.49655803040484847,0.18647435704133475,0.37408133904622193,0.19812858702103783,0.4971893099318449,0.27988755758229444,0.41514065490185487,0.0,0.2932753662775751,0.33485998225497626,0.4281745316456264,0.0,0.0,0.0,0.0,0.0,0.2049373216293177,2.004436420750247,0.0,0.4788081059884968,0.149045324821322,0.0,0.0,0.0,0.0,0.0,0.0,0.4987080660560102,0.4029532433008017,0.49176300013179675,0.41926592142705704,16.251097808748135,21.272461193549947,34.74609320594308,0.0,0.0,45.58758301916487,25.493483820854483,0.11218730417487192,0.4307571349004955,0.0,0.06438176693771888
min,55.0,1.0,0.0,45.359237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-43.0,-0.7818181818181819,-0.5972222222222222,2.0,0.0
