,Age,Gender,Race,EjF,RAP,PAS,PAD,PAMN,PCWP,CO,CI,MIXED,BPSYS,BPDIAS,HRTRT,MAP,MPAP,CPI,PP,PPP,PAPP,SVR,RAT,PPRatio,PAPi,SAPi,CPP,PRAPRat,cluster,Death
25%,62.0,1.0,0.0,55.0,,22.0,0.0,0.0,5.0,,,0.0,182.0,79.0,127.0,234.66666666666663,0.0,,103.0,0.5659340659340659,0.0,,,0.8110236220472441,0.0,20.6,74.0,,2.0,0.0
50%,62.0,1.0,0.0,55.0,,22.0,0.0,0.0,5.0,,,0.0,182.0,79.0,127.0,234.66666666666663,0.0,,103.0,0.5659340659340659,0.0,,,0.8110236220472441,0.0,20.6,74.0,,2.0,0.0
75%,62.0,1.0,0.0,55.0,,22.0,0.0,0.0,5.0,,,0.0,182.0,79.0,127.0,234.66666666666663,0.0,,103.0,0.5659340659340659,0.0,,,0.8110236220472441,0.0,20.6,74.0,,2.0,0.0
max,62.0,1.0,0.0,55.0,,22.0,0.0,0.0,5.0,,,0.0,182.0,79.0,127.0,234.66666666666663,0.0,,103.0,0.5659340659340659,0.0,,,0.8110236220472441,0.0,20.6,74.0,,2.0,0.0
count,9.0,9.0,9.0,7.0,8.0,3.0,9.0,9.0,3.0,0.0,0.0,9.0,9.0,9.0,7.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,2.0,7.0,9.0,3.0,3.0,8.0,9.0,9.0
mean,72.88888888888889,1.0,0.0,57.857142857142854,9.75,45.333333333333336,0.0,0.0,3.6666666666666665,,,0.0,130.33333333333334,78.22222222222223,85.0,182.48148148148144,0.0,,52.111111111111114,0.39926258703029016,0.0,,0.6666666666666666,0.6315773620486941,0.0,15.377777777777775,65.0,21.396103896103895,3.0,0.0
std,9.10280786961425,0.0,0.0,8.591246929842246,9.331207240835912,20.207259421636902,0.0,0.0,1.1547005383792515,,,0.0,15.937377450509228,13.4794081637305,19.891371663780923,22.682048158003163,0.0,,12.88840995278747,0.08330121304592737,0.0,,0.0,0.18469222039675082,0.0,3.310812812812205,16.3707055437449,25.88469238670261,0.0,0.0
min,62.0,1.0,0.0,50.0,1.0,22.0,0.0,0.0,3.0,,,0.0,98.0,50.0,71.0,131.33333333333334,0.0,,30.0,0.2727272727272727,0.0,,0.6666666666666666,0.3409090909090909,0.0,11.8,47.0,2.0454545454545454,3.0,0.0
25%,63.0,1.0,0.0,52.5,1.75,39.5,0.0,0.0,3.0,,,0.0,130.0,74.0,73.0,182.33333333333331,0.0,,46.0,0.3538461538461539,0.0,,0.6666666666666666,0.5322834645669291,0.0,13.9,58.0,3.066558441558442,3.0,0.0
50%,70.0,1.0,0.0,55.0,8.0,57.0,0.0,0.0,3.0,,,0.0,136.0,82.0,75.0,186.33333333333331,0.0,,53.0,0.3900709219858156,0.0,,0.6666666666666666,0.647887323943662,0.0,16.0,69.0,13.964285714285715,3.0,0.0
75%,82.0,1.0,0.0,62.5,16.0,57.0,0.0,0.0,4.0,,,0.0,141.0,86.0,88.0,196.66666666666663,0.0,,55.0,0.44360902255639095,0.0,,0.6666666666666666,0.7406572769953051,0.0,17.166666666666664,74.0,28.125,3.0,0.0
max,82.0,1.0,0.0,70.0,22.0,57.0,0.0,0.0,5.0,,,0.0,145.0,92.0,127.0,206.33333333333331,0.0,,78.0,0.5454545454545454,0.0,,0.6666666666666666,0.8863636363636364,0.0,18.33333333333333,79.0,78.0,3.0,0.0
count,14.0,14.0,14.0,10.0,10.0,12.0,14.0,14.0,10.0,10.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,8.0,14.0,14.0,14.0,6.0,10.0,14.0,14.0,10.0,10.0,10.0,14.0,14.0
mean,65.42857142857143,1.1428571428571428,0.0,30.0,19.4,45.833333333333336,0.0,0.0,18.4,5.28,2.375,0.0,100.28571428571429,57.714285714285715,100.71428571428571,138.76190476190476,0.0,0.7211474501108648,42.57142857142857,0.40973167841729236,0.0,1468.9219633783914,1.0424700854700855,0.45872239260575387,0.0,2.653450854700855,37.4,3.3346576159067745,4.0,0.0
std,8.803096358356274,0.36313651960128146,0.0,20.275875100994064,9.53589709116732,12.525126261989852,0.0,0.0,4.247875285886398,1.7325639318010109,0.4166190448976481,0.0,20.514267348242413,12.43090795265867,18.210008116538432,24.8088172123826,0.0,0.23905763539788524,19.65750702448259,0.14235490074308124,0.0,422.4284517045567,0.49212637660355124,0.25915471590839906,0.0,1.537256371742609,15.305772331596556,3.2852103134601762,0.0,0.0
min,55.0,1.0,0.0,10.0,7.0,29.0,0.0,0.0,13.0,3.5,2.0,0.0,63.0,36.0,81.0,93.0,0.0,0.4124168514412417,13.0,0.18309859154929575,0.0,780.0,0.5384615384615384,0.09774436090225563,0.0,0.8125,14.0,0.9285714285714286,4.0,0.0
25%,57.25,1.0,0.0,20.0,14.0,35.0,0.0,0.0,16.0,3.8,2.0,0.0,88.5,51.0,84.0,125.5,0.0,0.5849963045084996,26.25,0.29516806722689076,0.0,1306.5983606557377,0.76,0.23302251935256857,0.0,1.45625,26.0,1.346638655462185,4.0,0.0
50%,63.0,1.0,0.0,20.0,19.0,45.5,0.0,0.0,18.0,5.0,2.3,0.0,100.5,58.5,98.0,139.16666666666669,0.0,0.688470066518847,45.0,0.401,0.0,1539.7756686798966,0.875,0.4753968253968255,0.0,2.5,41.5,1.9622762148337598,4.0,0.0
75%,75.0,1.0,0.0,35.0,23.0,60.0,0.0,0.0,20.0,6.1,2.6750000000000003,0.0,110.5,64.25,113.25,151.0,0.0,0.8208425720620843,58.75,0.5438902007083826,0.0,1668.248490077653,1.15,0.5934088269454123,0.0,3.263888888888889,47.25,3.3026315789473686,4.0,0.0
max,77.0,2.0,0.0,65.0,34.0,60.0,0.0,0.0,25.0,8.0,2.9,0.0,140.0,78.0,133.0,181.33333333333331,0.0,1.1295639320029562,78.0,0.6138613861386139,0.0,2014.0350877192982,1.8888888888888888,0.951219512195122,0.0,6.0,58.0,11.142857142857142,4.0,0.0
