,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
std,6.3315489388056685,0.476775682640817,0.49996696525573747,21.931055733726183,16.47205487698329,0.0,9.932146823534158,0.586501885512069,0.0,0.17956907075898873,0.17446066717186298,0.27317294918672463,0.21802118259646766,0.08343131062214637,0.0,0.443478191742715,0.3757928141815891,0.4957842076654796,0.0,0.12806498019752552,0.2790124823098378,0.16016730902705378,0.30860717313898284,0.3058134465199147,0.0,0.403522395148422,0.47369085919385756,0.08484726373969871,0.34467663714300995,0.10024589914844231,0.39645125184362545,0.24485483368073882,0.3001006963118847,0.031079729349702163,0.16782535928892764,0.23558893187422356,0.3058134465199147,0.0,0.0,0.0,0.0,0.0,19.75128649230771,1.7293124464533178,0.0,17.01751441664789,5.606447709939624,0.0,0.0,68.58006170965855,0.0,0.0,0.0,0.4732803382841452,0.48517854441055547,0.3806011196175082,0.4875997443095505,16.564964508994716,18.66160566528798,31.74411250021527,0.0,0.0,40.54446576831675,24.947911907707493,0.11787619715312299,0.4073339859089173,0.0,0.20985157989814957
min,61.0,1.0,1.0,30.481407264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-57.0,-1.2058823529411764,-1.0178571428571428,1.0,0.0
25%,72.0,1.0,1.0,68.04,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,61.0,120.0,0.0,0.0,164.0,50.0,0.4,0.5555555555555556,1.0,0.0
50%,77.0,2.0,2.0,81.64681329999999,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,55.0,72.0,140.0,0.0,0.0,190.0,66.0,0.47709420159501115,0.7711353890136818,1.0,0.0
75%,81.0,2.0,2.0,98.1,27.119673363,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,32.2,10.5,0.0,0.0,138.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.0,84.0,160.0,0.0,0.0,213.66666666666663,84.0,0.5459858261053523,1.0524945175438596,1.0,0.0
max,93.0,2.0,2.0,226.1,143.06233841,0.0,309.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,138.0,13.3,0.0,55.9,29.0,0.0,0.0,156.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,95.0,178.0,290.0,0.0,0.0,392.66666666666674,172.0,1.0,3.75,1.0,1.0
count,3677.0,3677.0,3677.0,2763.0,3359.0,3677.0,3677.0,166.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3621.0,2767.0,3677.0,3610.0,3638.0,3677.0,3677.0,3622.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,3677.0,1711.0,1376.0,1402.0,3677.0,3677.0,1376.0,1376.0,1372.0,1362.0,3677.0,3677.0
mean,79.52678814250748,1.5240685341310851,1.170247484362252,80.12203258891773,17.39307169103879,0.0,7.305683981506663,0.1144578313253012,0.0,0.8836007614903454,0.03807451726951319,0.05520805004079413,0.9350013598041882,0.004895295077508839,0.0,0.3891759586619527,0.19309219472395975,0.3111231982594506,0.0,0.024204514549904813,0.8746260538482459,0.009518629317378298,0.058743540930106065,0.08648354636932282,0.0,0.21838455262442208,0.32036986673918955,0.07288550448735383,0.3562686973075877,0.0772368778895839,0.1680717976611368,0.07288550448735383,0.14658689148762577,0.0,0.08376393799292901,0.2453086755507207,0.11748708186021213,0.0,0.0,0.0,0.0,0.0,20.016293841480255,1.5926418503794724,0.0,21.85745152354571,7.168779549202859,0.0,0.0,88.1330756488128,0.0,0.0,0.0,0.2529235790046233,0.5681261898286647,0.12102257274952406,0.5692140331792221,47.64348334307422,71.74709302325581,131.02496433666192,0.0,0.0,178.9876453488372,59.409156976744185,0.4448192338229205,0.7347899497876335,2.0,0.08757138971988034
std,5.957379714256729,0.4994882949395957,0.3759011930829187,20.47340395797332,15.76665631104382,0.0,13.927103190029143,0.5970904261490924,0.0,0.3207466830526861,0.19140222474743246,0.22841696657802582,0.24655699049691268,0.06980441486977336,0.0,0.4876296744904063,0.39477839879213306,0.4630160448384038,0.0,0.15370452537957216,0.33118748443037394,0.09711122367877155,0.23517605932358615,0.28111498440042154,0.0,0.413205970634837,0.4666821682755917,0.2599838263977365,0.4789610646484177,0.2670032413105444,0.3739808890821088,0.25998382639773643,0.35374172225390416,0.0,0.2770711437308051,0.4303285857228408,0.3220435887864431,0.0,0.0,0.0,0.0,0.0,23.192814415562815,1.3740896924999504,0.0,17.132123317435504,5.6087676999217075,0.0,0.0,66.63290195262664,0.0,0.0,0.0,0.434746643517151,0.4954044493165052,0.32619786578163806,0.49525359474814484,14.984719796892735,17.949383142038727,27.72563815106533,0.0,0.0,36.28759101115696,22.106529592730052,0.12556204636440169,0.38466225247163144,0.0,0.282708998305895
min,62.0,1.0,1.0,25.65699881668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-48.0,-1.6,-0.8571428571428571,2.0,0.0
