,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
75%,82.0,2.0,2.0,90.3,27.942311218249998,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.665,0.0,34.1,11.2,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,82.0,150.0,0.0,0.0,204.66666666666663,74.0,0.5244910100475939,0.9031417510422871,3.0,0.0
max,93.0,2.0,2.0,204.0,285.77192039,0.0,736.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,148.0,20.0,0.0,51.9,25.6,0.0,0.0,173.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,90.0,143.0,218.0,0.0,0.0,300.0,130.0,0.8257575757575758,3.7142857142857135,3.0,1.0
count,2573.0,2573.0,2573.0,2194.0,2473.0,2573.0,2570.0,274.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2551.0,1279.0,2573.0,2545.0,2554.0,2573.0,2573.0,2550.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0,1383.0,1870.0,1879.0,2573.0,2573.0,1870.0,1870.0,1869.0,1854.0,2573.0,2573.0
mean,75.89506412747765,1.5312864360668481,1.4632724446171783,85.064216076255,8.679647689037202,0.0,7.170428015564203,0.16423357664233576,0.0,0.04974737660318694,0.027594247959580258,0.4053633890400311,0.09910610182666149,0.010493587252234746,0.0,0.3291877186164011,0.15079673532841043,0.7909055577147299,0.0,0.018655266226195105,0.9545277885736494,0.02098717450446949,0.11465215701515741,0.13758258841818888,0.0,0.27710843373493976,0.4982510687912942,0.020209871745044693,0.18227749708511465,0.023707734162456275,0.6506024096385542,0.08822386319471434,0.384764865915274,0.0,0.10143801010493587,0.14496696463272446,0.37815779246016323,0.0,0.0,0.0,0.0,0.0,9.924343394747158,1.9397263487099294,0.0,10.177524557956778,3.367924823805795,0.0,0.0,42.34823529411765,0.0,0.0,0.0,0.49164399533618347,0.8942868247182277,0.6078507578701905,0.7963466770307035,41.680404916847436,73.94491978609625,142.69238956891965,0.0,0.0,192.04634581105168,68.8048128342246,0.47294649167245556,inf,4.0,0.03653322969296541
std,6.115645086087071,0.4991171996279739,0.498746190799317,19.93510113439848,14.709002879723169,0.0,22.47297024867979,0.7047964636206794,0.0,0.21746483582208415,0.16383906158376652,0.49105766498319037,0.2988625039726357,0.10191912969859257,0.0,0.4700095968428529,0.3579201990025633,0.40674101624556064,0.0,0.13533057737081208,0.20837793834241927,0.14336910972707528,0.31866362531143794,0.3445283045048136,0.0,0.44765749669756316,0.5000941318116596,0.14074491705013756,0.38614811030205104,0.15216660803325444,0.47687241099748284,0.28367532249124733,0.486634258487203,0.0,0.30196651952222864,0.3521359630406422,0.4850215511783069,0.0,0.0,0.0,0.0,0.0,18.412681033815097,1.6082224667380953,0.0,15.626843468669744,5.1858754961719224,0.0,0.0,63.78200899365512,0.0,0.0,0.0,0.5000273499128407,0.3075299276888717,0.48832457667168394,0.40279238135095546,16.319989850535954,19.881528819379295,34.423861448785395,0.0,0.0,44.436337219996446,25.803013049684928,0.11363401025727259,,0.0,0.18764924222092969
min,61.0,1.0,1.0,26.807309067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-43.0,-0.7818181818181819,-0.5972222222222222,4.0,0.0
25%,71.0,1.0,1.0,70.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,61.0,120.0,0.0,0.0,162.08333333333334,50.25,0.4044117647058824,0.6004854368932038,4.0,0.0
50%,76.0,2.0,1.0,83.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45.0,71.0,141.0,0.0,0.0,188.83333333333334,68.0,0.4785276073619632,0.8458333333333333,4.0,0.0
75%,80.0,2.0,2.0,97.38550000000001,22.634111626,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,2.2,0.0,28.5,9.3,0.0,0.0,135.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,55.0,85.0,161.0,0.0,0.0,216.66666666666669,85.0,0.55,1.1111111111111112,4.0,0.0
max,91.0,2.0,2.0,191.6,200.41322314,0.0,731.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,12.89,0.0,50.3,38.1,0.0,0.0,153.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,85.0,173.0,282.0,0.0,0.0,395.33333333333326,200.0,1.0,inf,4.0,1.0
