,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death,Rehosp,Readmission
std,14.188875595838828,0.4950002475001857,14.478366849306818,22.60555805277203,7.7404341611042256,3.9372549094636664,17.895465857241554,0.864676549239514,16.32725977513391,0.0,0.42686657579320003,0.0,0.1242625304369271,0.08821486691651266,0.21998078124610582,0.31755712007417486,0.3846790105743626,0.4031128874149275,0.27494986173953284,0.3077581412885966,0.5,0.15158476564770812,0.0885601104117539,1.3195306559382334,0.2117851297340552,0.21836528497771268,0.3291590927586664,0.08821486691651266,0.3291590927586664,0.0,0.23361036914872718,0.3722438563166471,0.0,0.15043743759923137,0.2920515667601508,0.3222736323648695,0.0625,464.15832391289297,4.159053591378246,0.652986067690346,89.27126808085993,82.83863246515827,21.00653815882871,0.7840454983139019,0.3391188390840139,33.492556607691505,1.8309355452092302,74.6424522050932,0.5858978238901458,4.623753929612434,0.5545837808464334,0.9692945405013722,7.177456833670708,0.1621708244394666,0.48834044321189346,0.47539707193290115,0.2016784338351294,6.301869875929839,11.886508955877586,15.838939117366678,16.448813853078686,61.445912427108915,21.582164675846393,12.805352710085327,0.09201672928655438,0.19438231675326448,0.0,0.3918345359131881,0.4988254693044942,0.36873667564636964
min,20.0,1.0,1.0,47.0,16.4399093,2.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.2,10.0,9.0,7.0,0.5,0.0,26.5,8.9,116.0,2.7,119.0,0.1,1.0,2.8,0.0,0.0,0.0,0.0,5.0,20.0,60.0,34.0,-581.5059969816516,91.33333333333331,8.0,0.08333333333333333,0.0718232044198895,1.0,0.0,0.0,0.0
25%,37.0,1.0,1.0,62.5,23.2394790825,4.0,4.0,3.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,200.1288,8.8,3.2,19.5,23.5,17.0,1.0,0.1,35.349999999999994,11.649999999999999,195.0,3.9,134.0,0.4,6.6,5.6,1.0,0.0,0.0,1.0,15.0,58.0,94.5,74.5,-18.77947557064705,134.5,31.0,0.30628703094140886,0.3436868686868687,1.0,0.0,0.0,0.0
50%,48.0,1.0,2.0,83.72727273,27.244460425,6.0,8.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,579.0,10.6,3.6,31.0,29.0,25.0,1.2,0.3,39.0,12.9,240.0,4.2,136.0,0.7,7.1,7.2,1.0,1.0,0.0,1.0,17.0,67.0,104.0,84.0,-5.919187126618353,148.33333333333334,38.0,0.3636363636363637,0.4681818181818182,1.0,0.0,0.0,0.0
75%,56.0,2.0,2.0,97.59090909,34.270317975000005,9.0,15.0,4.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,961.0,12.9,3.9,42.75,40.0,36.0,1.6,0.5,42.849999999999994,14.2,297.0,4.625,138.75,1.25,7.6,8.81,1.0,1.0,1.0,1.0,20.0,72.5,116.0,96.0,6.3174114021571794,164.66666666666666,48.0,0.4265465008039265,0.5772727272727273,1.0,0.0,1.0,0.0
max,85.0,2.0,98.0,134.0,52.734375,24.0,154.0,4.0,105.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2000.0,27.5,8.2,1037.0,995.0,105.0,10.0,1.4,533.0,18.2,521.0,6.9,148.0,2.0,9.8,83.0,1.0,1.0,1.0,1.0,45.0,98.0,170.0,181.0,39.838266707354265,235.33333333333331,90.0,0.8181818181818182,1.4705882352941178,1.0,1.0,1.0,1.0
count,120.0,120.0,120.0,112.0,108.0,120.0,120.0,116.0,118.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,114.0,118.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,98.0,39.0,72.0,76.0,78.0,114.0,113.0,52.0,102.0,102.0,99.0,114.0,114.0,75.0,67.0,103.0,120.0,120.0,120.0,120.0,116.0,117.0,117.0,117.0,86.0,117.0,117.0,117.0,116.0,120.0,120.0,120.0,120.0
mean,61.34166666666667,1.1333333333333333,3.1666666666666665,83.6806006499107,28.273478192222225,8.741666666666667,14.758333333333333,3.3879310344827585,73.10169491525424,0.0,0.016666666666666666,0.8416666666666667,0.0,0.0,0.25,0.18333333333333332,0.26666666666666666,0.6083333333333333,0.2,0.03333333333333333,0.48333333333333334,0.11666666666666667,0.03508771929824561,2.347457627118644,0.016666666666666666,0.25,0.4166666666666667,0.0,0.125,0.0,1.0,0.18333333333333332,0.6833333333333333,1.0,0.13333333333333333,0.18333333333333332,0.5916666666666667,502.71432326530606,9.862641025641027,3.6500000000000004,27.82894736842105,32.55128205128205,41.08421052631579,1.6866371681415926,0.3553653846153846,36.4078431372549,12.00686274509804,204.92424242424244,4.1991228070175435,135.60526315789474,0.948,7.02686567164179,7.482621359223302,0.8083333333333333,0.5833333333333334,0.525,0.9666666666666667,21.20689655172414,61.82051282051282,104.5982905982906,75.57264957264957,11.942560020996991,145.81196581196582,42.77777777777778,0.40081759097841374,0.5969411305678873,2.0,0.3,0.5666666666666667,0.2
std,11.585629923672313,0.34135994294037736,12.444386087631612,17.784617785714264,5.358654381188253,6.084138122583829,12.80362070202146,0.6823431716504906,17.377847097735717,0.0,0.12855586584927856,0.3665838969477527,0.0,0.0,0.43482827673933633,0.38856195407793426,0.4440708046604964,0.4901694670647867,0.4016771562027471,0.1802581404510752,0.5018174252567527,0.3223686843157241,0.18481392514498396,1.0811288706446285,0.12855586584927858,0.43482827673933633,0.49507377148833714,0.0,0.3321055820775357,0.0,0.0,0.38856195407793426,0.46712662406799865,0.0,0.3413599429403774,0.3885619540779343,0.4935863156332357,442.6740618757516,2.9250025504908317,0.43410909253936636,18.33203982677668,17.389090053261928,24.59687935795874,0.7839342294518047,0.24803478794955858,5.0700769669106585,2.0106774290146157,75.54257900709156,0.5519868560117623,4.39552954928421,0.44732236395836206,0.9537139666416472,1.9936541291302596,0.3952625620991683,0.4950737714883372,0.501468431942923,0.18025814045107516,7.208108045056304,10.438337316912333,17.033972054377315,13.601037130406407,40.74393471311779,20.739830846812048,16.179548132682132,0.10053632245827579,0.29121091533562743,0.0,0.4601789933084222,0.4976133515281193,0.4016771562027471
min,40.0,1.0,1.0,47.0,18.2421875,0.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7929999999999999,2.9,6.0,12.0,1.7,0.6,0.0,24.5,4.1,52.0,2.6,126.0,0.1,2.0,4.0,0.0,0.0,0.0,0.0,10.0,37.0,70.0,48.0,-16.928540041092145,98.0,20.0,0.2222222222222222,0.21978021978021972,2.0,0.0,0.0,0.0
