,Model,TPR,TPR SD,TPR CI,TNR,TNR SD,TNR CI,PPV,PPV SD,PPV CI,NPV,NPV SD,NPV CI,FPR,FPR SD,FPR CI,FNR,FNR SD,FNR CI,Acc,Acc SD,Acc CI,AUC,AUC SD,AUC CI
Escape,KNN,0.2538101730376773,0.30811884497991326,0.06726946594914766,0.8105077183948393,0.292851395457245,0.07554733143541544,0.29197395962151346,0.39475765215998343,0.06183605569034691,0.8107544368480535,0.2195136566923253,0.07557733909491243,0.1894922816051608,0.292851395457245,0.07554733143541544,0.7461898269623228,0.30811884497991326,0.06726946594914768,0.726253585771658,0.29409445460118444,0.06448826068386888,0.5321589457162582,0.09757222419724033,0.02431273573591598
Card Shock,KNN,0.15366900957173618,0.24820934791881602,0.0938670728729192,0.7891860575810048,0.4081425280495883,0.08577412038122821,0.21754615299141228,0.215151571438814,0.08476983636142625,0.7827885208628177,0.07459196218730066,0.08482004252660981,0.21081394241899526,0.40814252804958817,0.08577412038122821,0.8463309904282639,0.24820934791881596,0.0938670728729192,0.6596026490066225,0.271423014960605,0.06372174280509088,0.47142753357637046,0.08398344251854294,0.026961339382127265
Serial,KNN,0.19893209486311686,0.3531123494686412,0.06450091919410415,0.8013285020165052,0.3819665214568282,0.0645288283505686,0.23998578843655244,0.20766197142208895,0.05994213622115833,0.7997767483064979,0.0868594509117779,0.06436246158662734,0.19867149798349476,0.3819665214568282,0.06452882835056861,0.8010679051368831,0.3531123494686412,0.06450091919410414,0.6848920863309352,0.23293582017385445,0.0505467032010251,0.500130298439811,0.03849611241724234,0.001341847870064317
Escape,DT,0.4769615295570304,0.5227763353701735,0.02057831209032121,0.8680674403549375,0.2042245608805693,0.08225203067162169,0.4829768093104006,0.544813221522094,0.017689005229124827,0.8679223277209925,0.19863312643219472,0.08223581491306631,0.13193255964506262,0.20422456088056928,0.08225203067162168,0.5230384704429696,0.5227763353701735,0.02057831209032121,0.8057831325301206,0.248657943980708,0.07497037634824612,0.672514484955984,0.3034050819551337,0.056311320447662815
Card Shock,DT,0.40514711679781684,0.2971971468909085,0.0491239030923831,0.8500472231691379,0.16284625153259646,0.09436933966277297,0.4113143664245359,0.16441391282637216,0.047500068312499005,0.8519226339723687,0.07491815742493568,0.09462179826241024,0.14995277683086214,0.16284625153259646,0.09436933966277297,0.5948528832021831,0.2971971468909085,0.04912390309238309,0.7589403973509933,0.0872967261101143,0.0811647588707084,0.6275971699834774,0.09080850956556848,0.05697549654613801
Serial,DT,0.43846096686195446,0.27258901621861137,0.029161442816388734,0.8598722490227322,0.09325149062529102,0.07051927722174071,0.43285859961411133,0.21559563124710934,0.03045992789936706,0.8609063784821738,0.09075004729739675,0.07062052668909904,0.1401277509772677,0.09325149062529103,0.07051927722174073,0.5615390331380455,0.27258901621861137,0.029161442816388734,0.7762589928057554,0.08320479018590478,0.061786256846625934,0.6491666079423434,0.12070391709269314,0.045401424607291845
Escape,RF,0.4312500214367786,0.7720708750969333,0.03554833071326786,0.8770621244318403,0.30358885349989095,0.08325098551702997,0.4557354865128383,0.5938144305643186,0.02852402286567471,0.8881891002258229,0.14749505655354078,0.08447040894710697,0.12293787556815979,0.3035888534998909,0.08325098551702996,0.5687499785632213,0.7720708750969333,0.03554833071326783,0.831566265060241,0.22565436943568248,0.07806710902339063,0.6541560729343093,0.33727329880537005,0.05323083116510988
Card Shock,RF,0.4257688449582334,0.8176480440993614,0.043457096541198684,0.8490470319243855,0.35403861674133325,0.09423442228461965,0.480770098458545,0.261938747645707,0.02211852326149348,0.867180484153087,0.17594240417914656,0.09665123166451738,0.1509529680756146,0.35403861674133325,0.09423442228461965,0.5742311550417667,0.8176480440993614,0.04345709654119872,0.7536423841059603,0.14518876403755993,0.08033013763089,0.6374079384413094,0.26136389247192926,0.05912532073285081
Serial,RF,0.4004808696934151,0.8361702438737402,0.037084033048511336,0.8547842353183619,0.3166603078828873,0.07001898813377015,0.41587326980239075,0.34712773255962576,0.03409578376048122,0.875130936509503,0.16479599637087403,0.07199877611107337,0.14521576468163805,0.3166603078828873,0.07001898813377015,0.5995191303065849,0.8361702438737402,0.037084033048511336,0.7719424460431654,0.13662247448022127,0.06130165127165028,0.6276325525058886,0.28255157881140963,0.04199662600813289
