,Model,TPR,TPR SD,TPR CI,TNR,TNR SD,TNR CI,PPV,PPV SD,PPV CI,NPV,NPV SD,NPV CI,FPR,FPR SD,FPR CI,FNR,FNR SD,FNR CI,Acc,Acc SD,Acc CI,AUC,AUC SD,AUC CI
Serial,KNN,0.021660649819494584,0.04332129963898917,0.07749316747561275,0.6115029428023283,0.6183862061490947,0.03741437741673352,0.040268456375838924,0.08053691275167785,0.07597094168396422,0.6267533891406335,0.5282439638891314,0.03989102065008386,0.38849705719767175,0.6183862061490947,0.03741437741673351,0.9783393501805054,0.04332129963898912,0.07749316747561275,0.34640522875816987,0.17083305331780851,0.043912036002568794,0.408591518939598,0.18281696212080395,0.033875725438612954
Best,KNN,0.5251618953184483,0.7130625262549971,0.00835566975686832,0.8296492288807403,0.5201340309048085,0.030243748882305285,0.6162927153161009,0.5368336490753778,0.017963288576462847,0.8365964374358115,0.3982630566411333,0.030560773972213538,0.17035077111925973,0.5201340309048086,0.030243748882305282,0.4748381046815518,0.7130625262549972,0.008355669756868314,0.8224629830263634,0.3912311477468195,0.029912280513668725,0.6774055620995943,0.34708833873841394,0.022186725350328135
Guide,KNN,0.4888888888888888,0.8267144550105899,0.010395281846562906,0.8029985523340712,0.6320405270258574,0.05428474477752412,0.11340202665792636,0.3404562307298151,0.061317905254396246,0.8029406470549303,0.4697170803461044,0.054279557420241244,0.19700144766592878,0.6320405270258574,0.05428474477752412,0.5111111111111112,0.8267144550105899,0.010395281846562906,0.6111392405063292,0.5639638139669854,0.03287692840102866,0.64594372061148,0.4033906261054991,0.037674737098561485
Escape,DT,0.7761150291750046,0.7131709168454387,0.04890511476787777,0.971056680354518,0.17971601870611068,0.06387719586546152,0.7926391964586826,0.6014052886924866,0.05034722136569374,0.9666909653378223,0.1920517558617692,0.06358050250374392,0.02894331964548212,0.17971601870611065,0.06387719586546152,0.2238849708249953,0.7131709168454387,0.048905114767877775,0.9936799339808289,0.012908253219013356,0.06539311070424618,0.8708293481318582,0.3493701343733404,0.05667562370143504
Card Shock,DT,0.13501483679525222,0.27002967359050445,0.04927398447724545,0.5963843817144551,0.8518767350970216,0.02532114906792175,0.050387596899224806,0.10077519379844961,0.054688903846205034,0.43852813852813854,0.8236331675784013,0.020221727761137183,0.403615618285545,0.8518767350970216,0.02532114906792174,0.8649851632047478,0.27002967359050445,0.04927398447724545,0.3858585858585859,0.5851094521635074,0.027555081603791574,0.3193411592289219,0.3613176815421561,0.03466647525853353
Serial,DT,0.2075812274368231,0.4151624548736462,0.060589585719352884,0.5959955126329138,0.7293152935127645,0.03471529212920937,0.13990267639902676,0.2798053527980535,0.06723653200770545,0.5488814099437453,0.6720068973749088,0.024772350734532243,0.4040044873670861,0.7293152935127645,0.03471529212920938,0.7924187725631768,0.4151624548736462,0.060589585719352884,0.45860566448801743,0.34297987192002904,0.022796376224380577,0.3828950913303518,0.2342098173392963,0.03834271910438852
Best,DT,0.4690000921363794,0.72230808276786,0.009274484779752215,0.8345889537946822,0.48414492563995154,0.030469504435418952,0.6457604032041481,0.44744687791077997,0.020110801148224847,0.8414497688611672,0.38535594900044395,0.030780310948951832,0.16541104620531763,0.48414492563995154,0.03046950443541896,0.5309999078636206,0.72230808276786,0.009274484779752215,0.8311303719754424,0.38775779577433067,0.030311616650961434,0.6517945229655309,0.3335361363664694,0.020522848640115245
Guide,DT,0.36921611721611725,0.7953500178206581,0.03566437658535027,0.7941293825168639,0.543322478480373,0.053484350861068085,0.39108028222730745,0.9278720693405129,0.032546986008179735,0.7972848596232044,0.47889182161037686,0.05377048074280778,0.20587061748313595,0.543322478480373,0.05348435086106809,0.6307838827838828,0.7953500178206582,0.03566437658535027,0.6116455696202532,0.5130125982599274,0.032951733795577344,0.5816727498664906,0.41937425598696637,0.028183577042385468
Escape,RF,0.6028961292119186,0.8254755534845514,0.029854429608712513,0.9437372145096283,0.24586863966601807,0.061997215693021315,0.801207199272045,0.5931731725103307,0.05107894671557637,0.9901591464334561,0.0644983596157195,0.06515951075650067,0.0562627854903717,0.24586863966601805,0.061997215693021315,0.3971038707880813,0.8254755534845514,0.029854429608712527,0.9932304957785817,0.010105445640673593,0.06536333751293427,0.767958311337881,0.3683768037154526,0.04817734639204445
Card Shock,RF,0.016320474777448073,0.032640949554896145,0.056722965627703695,0.7713005006403539,0.5611024766675565,0.042482041089957095,0.00625,0.02165063509461097,0.05731042530364653,0.7671661671661673,0.5922228077409493,0.04215710767791338,0.22869949935964606,0.5611024766675565,0.042482041089957095,0.9836795252225519,0.03264094955489616,0.05672296562770369,0.6038095238095238,0.6474936564027491,0.026278385326224576,0.3770477679510712,0.24590446409785754,0.02859883128539222
Serial,RF,0.009025270758122744,0.018050541516245487,0.078509991035145,0.6063392189379898,0.6239887053423949,0.03653777450249762,0.017241379310344827,0.034482758620689655,0.07785031550977702,0.6233910885315345,0.5333739802128126,0.039358383752100275,0.39366078106201013,0.6239887053423949,0.036537774502497636,0.9909747292418772,0.018050541516245522,0.078509991035145,0.33877995642701525,0.17692053775878802,0.044988848269262235,0.40003502343876285,0.19992995312247425,0.035425769485678736
Best,RF,0.6015593716591423,0.731708846424969,0.016786864849243976,0.8422008134169428,0.4663114604488859,0.030814144163853713,0.7945207080434469,0.37426709631463295,0.028586929409411103,0.8514228759180144,0.36440886146692264,0.03122659320001916,0.1577991865830571,0.4663114604488857,0.03081414416385372,0.3984406283408578,0.731708846424969,0.01678686484924397,0.8435536294691225,0.3817395865492277,0.030874992574305222,0.7218800925380426,0.39576574345130955,0.024812399239266883
Guide,RF,0.44554334554334557,0.9195079300800953,0.02301351742355485,0.8012361380213552,0.46093105890059743,0.054126638843206225,0.1493661113259431,0.3238683808012389,0.05839618391230404,0.8017753298027117,0.47056076423520465,0.054175058649448014,0.1987638619786449,0.4609310589005975,0.05412663884320622,0.5544566544566545,0.9195079300800953,0.02301351742355486,0.6106329113924052,0.38267763552202705,0.03280195241198511,0.6233897417823503,0.4736098344583674,0.03464152889422331
