,Model,TPR,TPR SD,TPR CI,TNR,TNR SD,TNR CI,PPV,PPV SD,PPV CI,NPV,NPV SD,NPV CI,FPR,FPR SD,FPR CI,FNR,FNR SD,FNR CI,Acc,Acc SD,Acc CI,AUC,AUC SD,AUC CI
Escape,KNN,0.5874075802533153,0.5620297736629675,0.04008274696564166,0.8450643195752526,0.29686226608470023,0.07964031252057338,0.587938159001528,0.50572340287947,0.04020421742381736,0.8485485650015563,0.24399372931648508,0.08004138186023271,0.15493568042474734,0.2968622660847002,0.07964031252057338,0.4125924197466847,0.5620297736629675,0.04008274696564166,0.7866207687894436,0.3345450716576569,0.07258330786601597,0.7162359499142841,0.3656510086551602,0.06304445250252497
Escape,DT,0.9371264367816091,0.17695176639988755,0.08963682491351008,0.9682787271208323,0.08898991868822351,0.09277589291800925,0.9390406566515571,0.16568421986172627,0.08983287477530329,0.9688623379406408,0.08570621989697562,0.09283368772290224,0.031721272879167615,0.08898991868822347,0.09277589291800926,0.06287356321839081,0.17695176639988755,0.08963682491351009,0.9579345955249569,0.10866211928160699,0.09174547541530459,0.9527025819512208,0.1234778558228775,0.09121986265970033
Escape,RF,0.9534446268929028,0.12727076323636474,0.09129459331616782,0.979320152232433,0.05942618954213615,0.09386329000011921,0.9514544110423421,0.13703234327624286,0.0910940222372998,0.9796914867596866,0.0572297934297882,0.09389964141607274,0.020679847767567067,0.059426189542136146,0.09386329000011921,0.046555373107097245,0.12727076323636474,0.09129459331616782,0.9722662076878944,0.0682019849839539,0.09317005760302131,0.9663823895626679,0.08057415979136266,0.09258785011655404
