,Model,TPR,TPR SD,TPR CI,TNR,TNR SD,TNR CI,PPV,PPV SD,PPV CI,NPV,NPV SD,NPV CI,FPR,FPR SD,FPR CI,FNR,FNR SD,FNR CI,Acc,Acc SD,Acc CI,AUC,AUC SD,AUC CI
Escape,KNN,0.45997599303225895,0.854248192930063,0.01884397007635356,0.8209029771682492,0.596032905455523,0.053357932870443964,0.5627473960374654,0.5924666448638615,0.02359445645824689,0.8362009244342817,0.4135352283363499,0.054614954328226065,0.1790970228317508,0.596032905455523,0.053357932870443964,0.540024006967741,0.854248192930063,0.01884397007635354,0.865135871370673,0.2933038660161007,0.056916655640317365,0.6326526580206128,0.3881999136755582,0.03430600143606284
Card Shock,KNN,0.25348186340263806,0.7341029123831615,0.0404952901660416,0.8481380577634718,0.28768416413072806,0.04812334733572749,0.29118793535113163,0.5212089386607134,0.037269869393352625,0.8564088966102469,0.2678876042761929,0.04869163358657973,0.1518619422365281,0.287684164130728,0.04812334733572749,0.7465181365973621,0.7341029123831614,0.04049529016604162,0.7333333333333334,0.23214315482478215,0.039397482358161116,0.5508099605830549,0.38388216529085833,0.018384613582601673
Serial,KNN,0.2538108000658039,0.73390783335729,0.05559424755317718,0.8349261143226693,0.39376710034526224,0.06484400992744417,0.31765184042686234,0.5049199791379372,0.04784604565025781,0.8367543639526609,0.3235969596457935,0.065020749944925,0.1650738856773307,0.39376710034526224,0.06484400992744417,0.7461891999341962,0.7339078333572899,0.05559424755317719,0.6993464052287581,0.3500974764025983,0.05002643583260471,0.5443684571942365,0.44383809493244425,0.023601115042159875
Best,KNN,0.4928871050893006,0.7597189665254014,0.0044733555215379925,0.8195899591709687,0.6868341966349627,0.02998518842406939,0.5865254968370547,0.6364386132578439,0.015602071721367749,0.8781501555746566,0.31049295335671956,0.032616875869286265,0.1804100408290315,0.6868341966349627,0.029985188424069383,0.5071128949106993,0.7597189665254014,0.004473355521537983,0.903478579274991,0.22513458401704217,0.033691508818848116,0.6562385321301345,0.31586665325327257,0.020965455101247737
Guide,KNN,0.39412771289627074,0.6673713683061099,0.03212914051760829,0.819423594999688,0.5635828743992769,0.05580735724996646,0.4440688912461875,0.2907641882721754,0.0233525695815804,0.8357623246271414,0.26885212691016014,0.057216849650944146,0.18057640500031197,0.5635828743992769,0.05580735724996646,0.6058722871037292,0.66737136830611,0.03212914051760829,0.7055837563451777,0.40408450814973074,0.044771573604060914,0.6067756539479794,0.20060490961724511,0.032265922060473996
Escape,DT,0.96225997645435,0.17826115639272977,0.06404058192195847,0.9936641655292111,0.022101039487941867,0.06618017708515998,0.9230206920432685,0.2986963117789048,0.06126224797281164,0.9913191818283323,0.03308874046049726,0.0660228067689714,0.006335834470788993,0.022101039487941846,0.06618017708515998,0.03774002354565015,0.17826115639272977,0.06404058192195845,0.9926064713308085,0.018353072083321875,0.06610924229992221,0.977686599927833,0.09127981548553722,0.06510039931840017
Card Shock,DT,0.7984109786926689,0.7684722564414416,0.044554079513455934,0.925637337174083,0.26516305084148545,0.053210818066315294,0.7829935442149116,0.7818564143804089,0.04338787109740896,0.9264767232140525,0.28816006744964506,0.05326325991683334,0.07436266282591689,0.26516305084148545,0.05321081806631531,0.20158902130733117,0.7684722564414417,0.044554079513455934,0.8548917748917748,0.33177886828948466,0.048587890505401875,0.862024157933376,0.36774158082976416,0.049073705589540814
Serial,DT,0.7892607276119403,0.7429005866817261,0.06026152186075252,0.9159923881088495,0.28389276366544386,0.07226667114714362,0.7602953961754648,0.7659367155373835,0.057164788568808286,0.916328542740316,0.32215445726953773,0.07229586383343252,0.08400761189115051,0.28389276366544386,0.07226667114714362,0.21073927238805973,0.7429005866817261,0.06026152186075252,0.8366013071895425,0.3570446518587087,0.06500597211627697,0.8526265578603948,0.35030941998241344,0.0665354145386626
Best,DT,0.9960053166648706,0.01456749208418589,0.037355399466188044,0.9994769148473432,0.0013029551164068151,0.03748589888499511,0.9891886269070735,0.04276170873469567,0.03709782044865217,0.999031045865426,0.0035139361683671324,0.037469163846071865,0.0005230851526567734,0.001302955116406816,0.03748589888499511,0.003994683335129504,0.014567492084185906,0.03735539946618804,0.9994141340168436,0.0014350727163870685,0.037483542950466256,0.9977411157561068,0.007646523452420992,0.03742070606291762
Guide,DT,0.9674256199436055,0.11070260986777744,0.06750939512685847,0.9982523196912532,0.004359308187350129,0.06969997544453896,0.9678770464513701,0.11103903710054874,0.06754198659663678,0.9983585523620487,0.003954826728381395,0.06970740543494787,0.0017476803087468381,0.0043593081873501095,0.06969997544453896,0.032574380056394445,0.11070260986777737,0.06750939512685847,0.9974619289340103,0.0027803175507876334,0.06964467005076143,0.9828389698174295,0.05506595104123898,0.06861342801290297
